DEC POLO|Jan/24|Feb/24|Mar/24|Apr/24|May/24|Jun/24|Jul/24|Aug/24|Sep/24|Oct/24|Nov/24|Dec/24|2024
Campos|0,86|0,86|0,74|0,66|0,62|0,51|0,51|0,57|0,56|0,59|0,61|0,71|7,82
Lagos|1,14|1,14|0,98|0,88|0,82|0,67|0,68|0,76|0,74|0,78|0,81|0,93|10,31
Macaé|0,94|0,94|0,81|0,72|0,68|0,55|0,56|0,63|0,61|0,65|0,66|0,77|8,50
Noroeste|1,25|1,26|1,08|0,96|0,90|0,74|0,75|0,83|0,81|0,86|0,89|1,03|11,35
Magé|0,68|0,68|0,58|0,52|0,49|0,40|0,40|0,45|0,44|0,47|0,48|0,56|6,15
Niterói|1,30|1,31|1,12|1,00|0,94|0,77|0,78|0,87|0,84|0,90|0,92|1,07|11,83
São Gonçalo|0,69|0,69|0,59|0,53|0,50|0,40|0,41|0,46|0,45|0,47|0,49|0,56|6,23
Serrana|1,08|1,08|0,93|0,83|0,78|0,63|0,64|0,72|0,70|0,74|0,77|0,89|9,80
Sul|1,47|1,48|1,26|1,13|1,06|0,86|0,88|0,98|0,95|1,01|1,04|1,21|13,34
Enel Rio|1,01|1,01|0,87|0,78|0,73|0,59|0,60|0,67|0,65|0,70|0,72|0,83|9,16
UT Norte|1,03|1,03|0,88|0,79|0,74|0,60|0,61|0,69|0,67|0,71|0,73|0,84|9,34
UT Sul|1,00|1,00|0,85|0,77|0,72|0,58|0,59|0,66|0,64|0,69|0,71|0,82|9,02
