FEC POLO|Jan/24|Feb/24|Mar/24|Apr/24|May/24|Jun/24|Jul/24|Aug/24|Sep/24|Oct/24|Nov/24|Dec/24|2024
Campos|0.58|0.52|0.48|0.28|0.35|0.35|0.38|0.35|0.36|0.41|0.40|0.42|4.87
Lagos|0.88|0.78|0.72|0.42|0.53|0.53|0.56|0.53|0.54|0.61|0.59|0.64|7.33
Macaé|0.77|0.68|0.63|0.37|0.46|0.47|0.49|0.47|0.47|0.53|0.52|0.56|6.41
Noroeste|0.88|0.78|0.72|0.42|0.53|0.53|0.57|0.53|0.54|0.61|0.60|0.64|7.37
Magé|0.60|0.54|0.49|0.29|0.36|0.37|0.39|0.37|0.37|0.42|0.41|0.44|5.04
Niterói|0.84|0.75|0.69|0.40|0.51|0.51|0.54|0.51|0.52|0.59|0.57|0.61|7.06
São Gonçalo|0.70|0.62|0.57|0.33|0.42|0.42|0.45|0.42|0.43|0.49|0.47|0.50|5.82
Serrana|0.69|0.61|0.56|0.33|0.42|0.42|0.44|0.42|0.43|0.48|0.47|0.50|5.77
Sul|0.93|0.83|0.76|0.45|0.56|0.57|0.60|0.57|0.58|0.65|0.63|0.68|7.81
Enel Rio|0.76|0.67|0.62|0.36|0.46|0.46|0.49|0.46|0.47|0.53|0.51|0.55|6.32
UT Norte|0.78|0.69|0.63|0.37|0.47|0.47|0.50|0.47|0.48|0.54|0.53|0.56|6.50
UT Sul|0.74|0.66|0.60|0.35|0.44|0.45|0.48|0.45|0.46|0.52|0.50|0.54|6.18
